fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality,Type,tS1,tS2,tS3,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11
8.1,0.27,0.41,1.45,0.033,11,63,0.9908,2.99,0.56,12,5,White,-22.937874,19.41895745,3.736349433,0.824647176,1.553195795,-0.905466748,-2.040139484,0.217808493,-0.205753601,1.001454974,-0.757946166,0.467742247,0.224538567,0.062319215
8.6,0.23,0.4,4.2,0.035,17,109,0.9947,3.14,0.53,9.7,5,White,-10.05762421,-11.89524369,13.63207628,-0.253950137,-0.207324638,-0.270017888,-1.195765519,0.174038029,-1.081021066,0.05521695,-0.703860105,-0.109451661,-0.121589622,0.06267913
7.9,0.18,0.37,1.2,0.04,16,75,0.992,3.18,0.63,10.8,5,White,-26.22619317,11.2542407,-4.446785606,0.754990863,0.822697655,-0.604280831,-0.992240014,0.731953485,-1.001155153,0.218973917,-1.033580676,0.433880011,0.187501706,0.191633436
6.6,0.16,0.4,1.5,0.044,48,143,0.9912,3.54,0.52,12.4,7,White,11.14693249,-0.774226816,-23.33748726,-0.046548679,2.58843047,-0.187151175,1.948797251,0.987945954,-0.713756068,-0.253428791,1.033629936,0.242502759,0.071719837,-0.2195972
8.3,0.42,0.62,19.25,0.04,41,172,1.0002,2.98,0.67,9.7,5,White,18.55829068,16.47462663,-6.251345645,-2.698961803,-2.572550334,-1.446481116,-0.119324566,-1.118051802,-0.149488193,2.182207921,0.057549743,0.099798081,-0.040341145,0.454714094
6.6,0.17,0.38,1.5,0.032,28,112,0.9914,3.25,0.55,11.4,7,White,-7.947144311,-16.75281136,-1.963190236,0.080125415,2.197969643,-0.758494887,0.450736114,0.078217394,-0.368101851,-0.429867457,-0.244378206,-0.276915921,-0.131612977,0.003502206
6.3,0.48,0.04,1.1,0.046,30,99,0.9928,3.24,0.36,9.6,6,White,-16.68891033,-13.49415312,-7.607929085,0.84475773,0.380415693,2.068805412,-0.446041338,-0.040710301,0.765403735,-1.012213903,-0.26475141,-0.845999934,0.043293121,0.122206078
6.2,0.66,0.48,1.2,0.029,29,75,0.9892,3.33,0.39,12.8,8,White,-17.62263053,11.41223841,-15.95632206,1.437797505,3.086571975,-0.346043338,0.544295558,-0.826945897,0.782183655,0.748106763,2.148562006,-1.630599699,-0.120755957,0.714210293
7.4,0.34,0.42,1.1,0.033,17,171,0.9917,3.12,0.53,11.3,6,White,27.52863128,-4.471084705,9.65051202,-0.066475633,1.43010048,-0.506629207,-0.711244331,0.465781056,-0.016672021,0.620832408,-0.155664677,-0.536578151,-1.180826337,-0.208960343
6.5,0.31,0.14,7.5,0.044,34,133,0.9955,3.22,0.5,9.5,5,White,17.43312028,-16.53850554,-11.28843669,-0.487818343,-0.807179463,1.385498551,-0.186585594,0.075667663,-0.086375157,-0.196571022,-0.813742754,0.319934085,0.067633463,0.028803174
6.2,0.66,0.48,1.2,0.029,29,75,0.9892,3.33,0.39,12.8,8,White,-17.62199192,11.41198397,-15.95653019,1.437797505,3.086571975,-0.346043338,0.544295558,-0.826945897,0.782183655,0.748106763,2.148562006,-1.630599699,-0.120755957,0.714210293
6.4,0.31,0.38,2.9,0.038,19,102,0.9912,3.17,0.35,11,7,White,-20.39052484,-13.00908921,8.846882472,0.089803558,1.963862906,-0.220261072,-0.664171836,-0.652180724,0.062673494,-0.669868359,0.573927379,-0.643704702,-0.37490312,0.269450529
6.8,0.26,0.42,1.7,0.049,41,122,0.993,3.47,0.48,10.5,8,White,3.119294564,-21.87847688,-19.77177,-0.027069945,1.700628488,-0.500806705,1.834235773,0.00937708,-0.474549234,-1.302229645,1.023563918,-1.160919303,-0.098460095,0.181887453
7.6,0.67,0.14,1.5,0.074,25,168,0.9937,3.05,0.51,9.3,5,White,24.82301445,-2.220174699,5.811481709,0.66516726,-1.159099147,1.308321918,-1.172118129,0.807112138,1.63034971,0.290016083,-0.440077302,-0.998242238,-1.039558471,0.091421493
6.6,0.27,0.41,1.3,0.052,16,142,0.9951,3.42,0.47,10,6,White,20.60399283,-14.26125669,10.72741791,0.308029094,0.242481339,-0.000960143,0.18313799,0.393351278,-1.416501446,-0.675077585,0.545559512,-0.504798091,-0.855852734,-0.337311071
7,0.25,0.32,9,0.046,56,245,0.9955,3.25,0.5,10.4,6,White,-10.79127483,2.620871283,28.04210131,-2.345398651,-0.031482146,0.536421033,1.17423142,0.648789315,0.317383363,0.212050078,0.202461715,0.07409853,-0.684645939,-0.424564625
6.9,0.24,0.35,1,0.052,35,146,0.993,3.45,0.44,10,6,White,17.26624612,-3.400045394,-12.46766018,-0.089671756,0.743708927,0.555130778,0.535195163,1.048525879,-0.99125115,-0.889795974,0.577332926,-0.408644042,-0.317861036,0.017619154
7,0.28,0.39,8.7,0.051,32,141,0.9961,3.38,0.53,10.5,6,White,19.16118903,-14.65083159,-7.342874431,-0.563666568,-0.204731236,-0.037770146,0.896018392,-0.228642309,-0.836285601,0.048156593,0.535500198,0.258361635,-0.26108238,0.001189775
7.4,0.27,0.48,1.1,0.047,17,132,0.9914,3.19,0.49,11.6,6,White,11.95824092,-16.43744214,11.9888778,0.223497199,1.643340001,-0.857982311,-0.749196121,0.490226906,-0.442873225,0.255369245,0.3953636,-0.098487393,-0.689843296,-0.085507386
7.2,0.32,0.36,2,0.033,37,114,0.9906,3.1,0.71,12.3,7,White,-5.057296295,-20.65957456,-9.588341761,0.340773651,2.235975279,-1.210856745,0.640587403,0.203898158,0.93059521,0.795658308,-0.712942562,-0.329557473,0.060640392,0.115749919
8.5,0.24,0.39,10.4,0.044,20,142,0.9974,3.2,0.53,10,6,White,24.86564047,-17.52406316,0.22544812,-0.973125161,-0.616836732,-0.438622206,0.095998111,-0.981450662,-0.737972029,-0.044207858,-0.1510873,0.195814862,-0.543392432,-0.149908554
8.3,0.14,0.34,1.1,0.042,7,47,0.9934,3.47,0.4,10.2,6,White,-16.58178513,20.26434192,15.34651639,1.161208073,1.078277144,0.255430888,-0.321995751,-0.217876537,-2.094985178,-1.419395152,0.273584869,0.109624492,0.100629695,0.094784085
7.4,0.25,0.36,2.05,0.05,31,100,0.992,3.19,0.44,10.8,6,White,-16.61373534,-13.91573282,-7.508117731,0.015442712,1.219610298,-0.144716665,-0.592843993,0.380983789,-0.123433899,-0.447850383,0.156055048,-0.127359141,0.223456088,0.095118538
6.2,0.12,0.34,1.5,0.045,43,117,0.9939,3.42,0.51,9,6,White,-0.358025487,-20.72090319,-21.80739173,-0.481345773,0.315122097,0.282205207,0.717851643,1.058561843,-1.336665193,-1.395926614,-0.239589886,-0.526071767,0.42774145,0.229507347
5.8,0.27,0.2,14.95,0.044,22,179,0.9962,3.37,0.37,10.2,5,White,22.35721331,3.772810929,17.11462787,-1.270265917,-0.812604279,1.748105395,0.134412048,-0.838841936,-0.834119769,0.065913128,0.360870964,1.393104203,-0.921977973,0.135685717
7.3,0.28,0.43,1.7,0.08,21,123,0.9905,3.19,0.42,12.8,5,White,6.668537759,-17.39324036,9.866122625,0.574716097,1.600017582,-0.444311299,-1.329613206,1.108164022,0.059427364,0.583134368,1.050223603,1.235237815,-0.365105619,-0.305569441
6.5,0.39,0.23,5.4,0.051,25,149,0.9934,3.24,0.35,10,5,White,26.46772178,-10.09672214,-2.872386921,-0.233989201,-0.103695348,1.470812086,-0.944025009,0.299266428,-0.091474994,-0.146008222,0.303095706,0.096879974,-0.557149451,0.12421784
7,0.33,0.32,1.2,0.053,38,138,0.9906,3.13,0.28,11.2,6,White,10.79157883,-10.15023905,-15.03715766,-0.432568759,1.732010959,0.593765163,-1.079358748,0.630898224,0.715190061,-0.420336437,0.814596098,-0.299791348,-0.04816182,-0.093195091
7.3,0.24,0.39,17.95,0.057,45,149,0.9999,3.21,0.36,8.6,5,White,21.50536412,10.70593489,-17.94604969,-2.7174607,-2.3893313,0.601576123,-0.124683927,-1.00980477,-0.764444704,-0.261538767,0.644173358,0.655790862,0.418336539,0.314229386
7.3,0.24,0.39,17.95,0.057,45,149,0.9999,3.21,0.36,8.6,5,White,21.50284592,10.70597236,-17.94611561,-2.7174607,-2.3893313,0.601576123,-0.124683927,-1.00980477,-0.764444704,-0.261538767,0.644173358,0.655790862,0.418336539,0.314229386
6.7,0.23,0.39,2.5,0.172,63,158,0.9937,3.11,0.36,9.4,6,White,-1.099728747,5.615986392,-13.66741973,-1.128075282,-0.847237522,-0.863224078,-0.338357269,2.099562979,1.829716335,-2.310853589,1.582996352,0.38612784,0.312603703,-0.062950035
6.7,0.24,0.39,2.9,0.173,63,157,0.9937,3.1,0.34,9.4,6,White,-1.056797335,5.663510916,-13.796692,-1.174917366,-0.868817049,-0.81835499,-0.426102248,2.015806432,1.897859337,-2.319953653,1.676090987,0.397644476,0.323659505,-0.034978021
7,0.31,0.26,7.4,0.069,28,160,0.9954,3.13,0.46,9.8,6,White,28.2345231,2.317831055,-3.644050575,-0.777721495,-0.457977686,0.230551082,-0.246857799,-0.25242565,0.506404813,-0.62286694,-0.111350122,0.061143033,-0.656195082,-0.134877677
6.6,0.24,0.27,1.4,0.057,33,152,0.9934,3.22,0.56,9.5,6,White,20.9345002,-1.053938446,-8.2607042,-0.251760686,0.221473545,0.112349423,0.127296463,0.893090104,-0.043375911,-0.861033574,-0.703506714,-0.475688518,-0.433255391,-0.01821529
6.7,0.23,0.26,1.4,0.06,33,154,0.9934,3.24,0.56,9.5,6,White,21.09332702,-0.77096096,-8.039129178,-0.222409871,0.205920089,0.161569174,0.216538126,0.945782318,-0.070266567,-0.947994526,-0.678559469,-0.38778383,-0.470078443,-0.033206197
7.4,0.18,0.31,1.4,0.058,38,167,0.9931,3.16,0.53,10,7,White,17.75771029,4.08873486,-1.764653001,-0.779399185,1.02413731,-0.496628535,0.482599302,0.55397203,0.437227444,-1.204894999,-0.477997935,-0.663182338,-0.512735513,-0.262878596
6.2,0.45,0.26,4.4,0.063,63,206,0.994,3.27,0.52,9.8,4,White,-9.086897629,0.632286218,14.11207478,-1.095515,-1.103394564,1.594045672,0.03605306,2.327765747,0.455509589,0.897862909,0.179785756,0.003487956,0.078159221,0.032936644
6.2,0.46,0.25,4.4,0.066,62,207,0.9939,3.25,0.52,9.8,5,White,-9.126432105,0.635474906,14.15840825,-1.073766392,-0.719588999,1.255078887,0.485222561,1.804909141,0.902982628,0.436419695,0.236491662,-0.382573965,-0.130787898,0.049831931
7,0.31,0.26,7.4,0.069,28,160,0.9954,3.13,0.46,9.8,6,White,28.23464965,2.317815019,-3.643980476,-0.777721495,-0.457977686,0.230551082,-0.246857799,-0.25242565,0.506404813,-0.62286694,-0.111350122,0.061143033,-0.656195082,-0.134877677
6.9,0.19,0.35,5,0.067,32,150,0.995,3.36,0.48,9.8,5,White,20.45225792,-4.224561776,-11.987627,-0.546813131,-0.470292091,0.386781086,-0.024091104,0.982853639,-1.070162949,-0.529744521,0.230149813,0.531160433,-0.254111495,-0.100254285
7.2,0.19,0.31,1.6,0.062,31,173,0.9917,3.35,0.44,11.7,6,White,20.04045003,2.307342703,2.894850093,-0.140819327,1.631674042,0.30396014,0.299727433,1.041874377,-0.237163286,-0.424260646,0.552813187,0.594946017,-0.749647622,-0.49363115
6.6,0.25,0.29,1.1,0.068,39,124,0.9914,3.34,0.58,11,7,White,5.357682847,-23.02449746,-18.88416105,0.43282802,1.507574387,-0.324331896,1.170271051,0.745603127,0.328575422,-0.873020876,0.077266122,-0.152971501,-0.132921557,0.161720949
6.2,0.16,0.33,1.1,0.057,21,82,0.991,3.32,0.46,10.9,7,White,-24.20752266,4.762554579,-13.12053491,0.663126955,1.961975966,-0.431309244,0.176691279,0.009270788,-0.469675466,-1.39210599,0.171857904,-0.015418761,-0.105725705,0.255451105
6.4,0.18,0.35,1,0.045,39,108,0.9911,3.31,0.35,10.9,6,White,-8.907597585,-18.11215962,-15.48034832,-0.242860044,1.770177082,0.414418356,-0.310776238,0.801709978,-0.534848928,-0.829671798,0.597447023,-0.028969969,0.41642137,0.052209568
6.8,0.2,0.59,0.9,0.147,38,132,0.993,3.05,0.38,9.1,6,White,11.53317161,-18.12763926,-12.44303328,-0.788789058,-0.468821886,-1.967052077,-1.390425389,1.645663503,0.644326628,-2.024649697,1.399238013,-0.226660177,-0.154362198,0.277972483
6.9,0.25,0.35,1.3,0.039,29,191,0.9908,3.13,0.52,11,6,White,20.77821437,-2.172574062,17.66780931,-0.629009665,1.556174514,-0.146762964,-0.391588864,0.97749051,0.240413862,0.125915731,-0.413155191,-0.267143227,-1.030482838,-0.121856503
7.2,0.21,0.34,11.9,0.043,37,213,0.9962,3.09,0.5,9.6,6,White,6.766220393,-3.569153174,28.71263853,-2.399750086,-0.553878614,-0.021126221,0.17116163,-0.411338763,0.147523385,-0.082385772,-0.440353386,0.134215026,-0.86277145,-0.054399174
6,0.19,0.26,12.4,0.048,50,147,0.9972,3.3,0.36,8.9,6,White,3.435563799,11.96602556,-25.69545187,-2.083443403,-0.878513001,1.059152647,0.661018772,-0.590795209,-0.441032714,-1.118953246,0.28699122,0.175465229,0.416356312,0.197471786
6.6,0.38,0.15,4.6,0.044,25,78,0.9931,3.11,0.38,10.2,6,White,-18.38349276,9.620473768,-15.25616035,0.34990288,0.552372963,1.018758964,-0.9487142,-0.688881729,0.639590519,-0.654861252,-0.35500974,-0.233358047,0.282284347,0.190047247
7.4,0.2,0.36,1.2,0.038,44,111,0.9926,3.36,0.34,9.9,6,White,-5.386736012,-16.29794536,-19.32083757,-0.545106161,1.116192301,0.679840357,-0.053155519,0.787546566,-0.896917178,-1.075749655,0.603209882,-0.595951814,0.570759307,0.12088185
6.8,0.22,0.24,4.9,0.092,30,123,0.9951,3.03,0.46,8.6,6,White,2.439747957,-22.75602881,-0.885867056,-0.663457623,-0.859319918,-0.189666719,-0.844931891,0.121949788,0.716833102,-1.785531013,-0.632730705,-0.129601825,-0.131415312,0.081762218
6,0.19,0.26,12.4,0.048,50,147,0.9972,3.3,0.36,8.9,6,White,3.435604116,11.96556516,-25.69560782,-2.083443403,-0.878513001,1.059152647,0.661018772,-0.590795209,-0.441032714,-1.118953246,0.28699122,0.175465229,0.416356312,0.197471786
7,0.47,0.07,1.1,0.035,17,151,0.991,3.02,0.34,10.5,5,White,27.66426692,-8.933632587,2.358213128,0.361176131,0.818492604,1.969580771,-1.996783246,0.30161534,1.089614956,0.082834347,-0.723727963,-0.280989065,-0.842735788,-0.164549586
6.6,0.38,0.15,4.6,0.044,25,78,0.9931,3.11,0.38,10.2,6,White,-18.38418191,9.620611479,-15.25626782,0.34990288,0.552372963,1.018758964,-0.9487142,-0.688881729,0.639590519,-0.654861252,-0.35500974,-0.233358047,0.282284347,0.190047247
7.2,0.24,0.27,1.4,0.038,31,122,0.9927,3.15,0.46,10.3,6,White,3.587528454,-15.29993341,-3.09883092,-0.214169286,1.019359441,0.288801471,-0.540048743,0.354668449,0.011530346,-0.585714219,-0.534451024,-0.401366665,0.009666838,-0.16157368
6.2,0.35,0.03,1.2,0.064,29,120,0.9934,3.22,0.54,9.1,5,White,-0.984568359,-14.81888557,-0.614196705,0.71774021,-0.576819688,1.617872474,-0.442638671,0.953989895,0.403866645,-0.89351126,-1.297693887,-0.027024561,-0.128780593,0.0736632
6.4,0.26,0.24,6.4,0.04,27,124,0.9903,3.22,0.49,12.6,7,White,2.750278147,-24.02885312,0.576632195,0.11183779,2.488691759,0.036933614,0.509105582,-0.607980812,0.683323739,0.065920783,0.064270151,0.722130817,-0.409165925,0.137879558
6.7,0.25,0.13,1.2,0.041,81,174,0.992,3.14,0.42,9.8,5,White,-6.774223818,0.29185987,-7.387970209,-1.740936955,0.541285087,1.845721543,-0.011508194,2.20035509,1.10199332,-0.370300763,-0.63670019,-0.344468277,1.201456251,-0.199703224
6.7,0.23,0.31,2.1,0.046,30,96,0.9926,3.33,0.64,10.7,8,White,-20.46385536,-8.539358939,-19.52080964,0.583118234,1.70606895,-0.89509846,1.640150326,-0.409439122,0.003769065,-1.109837284,-0.387436249,-0.743866056,-0.132641511,0.24282612
7.4,0.24,0.29,10.1,0.05,21,105,0.9962,3.13,0.35,9.5,5,White,-18.53114105,-18.55332375,14.01342483,-0.911612286,-0.823542635,0.66342689,-1.343931627,-0.784402429,-0.585826457,-0.502038632,-0.075573321,0.577209403,0.106195269,0.093772585
6.2,0.27,0.43,7.8,0.056,48,244,0.9956,3.1,0.51,9,6,White,-9.770211847,2.534067684,28.75170727,-2.555326475,-0.721896368,-0.289420276,0.244622828,0.723376779,0.344775118,-0.194172754,-0.046997904,-0.727324477,-0.99264687,-0.034163905
6.8,0.3,0.23,4.6,0.061,50.5,238.5,0.9958,3.32,0.6,9.5,5,White,-9.310924826,2.439879479,28.88499058,-1.279125663,-1.015727214,1.048406714,0.96116312,1.736914832,0.011531024,0.08572682,-0.451094489,-0.005596429,-0.794249296,-0.481915703
6,0.27,0.28,4.8,0.063,31,201,0.9964,3.69,0.71,10,5,White,13.42741818,-1.143276462,24.30820526,0.257158279,-1.03344937,0.904838577,2.158817655,1.564419099,-1.782332674,0.153048465,0.033899275,0.625051711,-1.129209241,-0.261503819
8.6,0.23,0.46,1,0.054,9,72,0.9941,2.95,0.49,9.1,6,White,-26.58953973,13.12540371,2.768055266,0.075144223,0.094922061,-1.400117328,-1.988436767,-0.272302386,-0.378838439,-0.988005332,-0.75584702,-0.959415004,-0.078057687,0.157467024
6.7,0.23,0.31,2.1,0.046,30,96,0.9926,3.33,0.64,10.7,8,White,-20.46335686,-8.539412486,-19.52082665,0.583118234,1.70606895,-0.89509846,1.640150326,-0.409439122,0.003769065,-1.109837284,-0.387436249,-0.743866056,-0.132641511,0.24282612
7.4,0.24,0.29,10.1,0.05,21,105,0.9962,3.13,0.35,9.5,5,White,-18.53116582,-18.55308609,14.01351985,-0.911612286,-0.823542635,0.66342689,-1.343931627,-0.784402429,-0.585826457,-0.502038632,-0.075573321,0.577209403,0.106195269,0.093772585
7.1,0.18,0.36,1.4,0.043,31,87,0.9898,3.26,0.37,12.7,7,White,-16.17191844,1.71440841,-17.07118957,0.31011159,3.155079373,-0.327182265,-0.048942045,-0.058255179,0.047566896,-0.521817035,0.804383998,0.335564328,0.294930635,-0.151846264
7,0.32,0.34,1.3,0.042,20,69,0.9912,3.31,0.65,12,7,White,-19.76939848,17.58797455,-7.778977155,1.492548458,2.027102025,-0.821046084,0.745218693,-0.190260463,-0.115086489,0.093305433,-0.175279647,-0.139232261,-0.03916969,0.253592534
7.4,0.18,0.3,8.8,0.064,26,103,0.9961,2.94,0.56,9.3,5,White,-23.66141968,-16.48505597,-7.590348026,-0.965259888,-1.142777094,-0.534781902,-1.363663777,-0.269188564,0.131759796,-0.365114084,-1.295174554,0.606804347,0.309555392,0.087439693
6.7,0.54,0.28,5.4,0.06,21,105,0.9949,3.27,0.37,9,5,White,-17.81411171,-18.11083104,8.916495494,0.457426363,-1.153815831,1.306078621,-1.04372663,-0.043868563,-0.247872416,-0.223460576,0.616883844,-0.632528034,-0.258928275,0.562171285
6.8,0.22,0.31,1.4,0.053,34,114,0.9929,3.39,0.77,10.6,6,White,-5.454844036,-19.60337814,-7.875463981,0.747856352,0.590093346,-0.499534107,1.308113607,1.131081969,-0.660078746,-0.080592076,-0.884615353,0.094608387,0.001892987,0.203785139
7.1,0.2,0.34,16,0.05,51,166,0.9985,3.21,0.6,9.2,6,White,9.739403076,16.0473738,-13.13807525,-2.396997731,-1.537329141,-0.149240222,1.277145771,-0.733213063,-0.18506832,-0.072962008,-0.398119603,0.465094561,0.204465118,0.316848504
7.1,0.34,0.2,6.1,0.063,47,164,0.9946,3.17,0.42,10,5,White,15.24168048,8.219309612,-8.708907306,-0.978336425,-0.500467212,1.24612274,-0.376130147,0.774162368,0.615468509,-0.132618273,-0.009864104,0.26905955,0.085491306,-0.193592548
7.3,0.22,0.3,8.2,0.047,42,207,0.9966,3.33,0.46,9.5,6,White,4.472892251,-4.153536635,26.67699353,-1.731425494,-0.476860669,0.713407664,0.930004075,0.212905972,-0.497941225,-0.573727386,0.135201408,-0.09393643,-0.676668836,-0.336079979
7.1,0.43,0.61,11.8,0.045,54,155,0.9974,3.11,0.45,8.7,5,White,3.365557467,14.18570664,-20.6616543,-2.406633172,-1.845759485,-0.40647723,-0.574956024,0.147650735,-0.398839848,0.863409418,0.943732064,-0.936295378,0.501351789,0.706425522
7.1,0.44,0.62,11.8,0.044,52,152,0.9975,3.12,0.46,8.7,6,White,3.449230117,13.40957512,-23.1774375,-2.31873437,-1.468856124,-0.791575997,-0.028819705,-0.414297307,-0.186174078,0.477168025,1.044718434,-1.375494174,0.315162147,0.742385031
7.2,0.39,0.63,11,0.044,55,156,0.9974,3.09,0.44,8.7,6,White,3.342252433,14.18799339,-20.2571288,-2.568305413,-1.301630439,-0.886652591,-0.165751753,-0.241822582,-0.173958134,0.312641918,0.992761427,-1.377287374,0.425234577,0.590786067
6.8,0.25,0.31,13.3,0.05,69,202,0.9972,3.22,0.48,9.7,6,White,-9.161750805,0.637178527,7.343442782,-2.842094298,-0.87163576,0.588603947,1.323723367,0.05376886,0.469879578,-0.025538568,0.263307971,0.160884454,0.357650422,-0.025178033
7.1,0.43,0.61,11.8,0.045,54,155,0.9974,3.11,0.45,8.7,5,White,3.365880235,14.18595952,-20.66197142,-2.406633172,-1.845759485,-0.40647723,-0.574956024,0.147650735,-0.398839848,0.863409418,0.943732064,-0.936295378,0.501351789,0.706425522
7.1,0.44,0.62,11.8,0.044,52,152,0.9975,3.12,0.46,8.7,6,White,3.449254803,13.40952001,-23.17674462,-2.31873437,-1.468856124,-0.791575997,-0.028819705,-0.414297307,-0.186174078,0.477168025,1.044718434,-1.375494174,0.315162147,0.742385031
7.2,0.39,0.63,11,0.044,55,156,0.9974,3.09,0.44,8.7,6,White,3.342251617,14.18762182,-20.25671196,-2.568305413,-1.301630439,-0.886652591,-0.165751753,-0.241822582,-0.173958134,0.312641918,0.992761427,-1.377287374,0.425234577,0.590786067
6.1,0.27,0.43,7.5,0.049,65,243,0.9957,3.12,0.47,9,5,White,-12.63700661,2.777061498,26.5770247,-2.99818857,-1.008136224,0.360447464,-0.006730103,1.526566072,0.171455464,0.283526827,0.103640562,-0.547074791,-0.195802163,-0.102584108
6.9,0.24,0.33,1.7,0.035,47,136,0.99,3.26,0.4,12.6,7,White,6.015557181,-8.055275103,-19.02623865,-0.374522011,3.000133928,0.104565425,0.552616009,0.41453769,0.544745455,-0.093320737,0.742038187,-0.024287054,0.206484045,-0.258062896
6.9,0.21,0.33,1.8,0.034,48,136,0.9899,3.25,0.41,12.6,7,White,5.984746968,-8.06619981,-19.03777331,-0.478435785,3.059738161,0.031330624,0.566741089,0.450577839,0.52052137,-0.130777752,0.618112556,0.050214416,0.261395768,-0.255757727
7.5,0.17,0.32,1.7,0.04,51,148,0.9916,3.21,0.44,11.5,7,White,7.053020775,2.63311904,-21.02871626,-0.910232708,2.24646719,-0.095768018,0.625516334,0.55320863,0.485238572,-0.631518071,0.184777112,-0.281068092,0.261214245,-0.37481444
7.1,0.26,0.29,12.4,0.044,62,240,0.9969,3.04,0.42,9.2,6,White,-12.56223455,1.772783458,26.91810717,-3.391276914,-0.867629743,0.649393542,0.399715544,-0.044975216,0.969651552,-0.167006563,-0.170025835,-0.280819317,-0.303149579,-0.221873335
6,0.34,0.66,15.9,0.046,26,164,0.9979,3.14,0.5,8.8,6,White,32.53655365,4.601089743,-2.914291802,-2.295262028,-1.636919116,-1.331093382,-0.189708374,-1.233239484,-0.961772014,0.458676395,0.809337408,-0.528717349,-0.720850705,0.915181628
8.6,0.265,0.36,1.2,0.034,15,80,0.9913,2.95,0.36,11.4,7,White,-28.32282734,7.617141259,-3.748821932,0.124693527,2.300957095,-0.755956104,-1.574276147,-0.928202686,0.62582599,-0.615330931,-0.131859056,-0.634578298,-0.064387661,-0.184258734
9.8,0.36,0.46,10.5,0.038,4,83,0.9956,2.89,0.3,10.1,4,White,-24.30368524,6.238228173,7.569065225,-0.777191622,-0.897386575,-0.027083719,-3.460005032,-1.117153595,-0.592600513,0.866135123,0.139264723,0.501137843,0.005367181,0.218454397
6,0.34,0.66,15.9,0.046,26,164,0.9979,3.14,0.5,8.8,6,White,32.53654513,4.601118255,-2.914051016,-2.295262028,-1.636919116,-1.331093382,-0.189708374,-1.233239484,-0.961772014,0.458676395,0.809337408,-0.528717349,-0.720850705,0.915181628
7.4,0.25,0.37,13.5,0.06,52,192,0.9975,3,0.44,9.1,5,White,4.716953685,-4.557281084,9.689413886,-2.907007389,-1.659941217,0.154456473,-0.584172284,-0.004024314,0.44536294,0.120984379,-0.104894708,0.344186792,0.092686523,0.021924273
