Model	releaseDate	MaxResolution	MinResolution	effectivePixels	zoomWide	ZoomTele	normalFocus	macroFocus	storageIncluded	weight	dimensions	Price
Sony DSC-D700	1998	1344	640	1	28	140	20	0	8	900	130	149
Sony Mavica FD-71	1998	640	320	0	40	400	1	1	1	500	138	1399
Sony Mavica FD-81	1998	1024	640	0	37	111	1	1	1	580	140	1399
Toshiba PDR-M1	1998	1280	640	1	35	35	50	9	4	290	123	62
Agfa ePhoto CL30	1999	1152	640	0	35	35	0	0	4	0	0	269
Agfa ePhoto CL30 Clik!	1999	1152	640	0	43	43	50	0	40	300	128	1299
Agfa ePhoto CL50	1999	1280	640	1	34	102	0	0	8	0	0	179
Canon PowerShot A50	1999	1280	640	1	28	70	50	17	8	290	103	149
Canon PowerShot A5 Zoom	1999	1024	512	0	28	70	50	17	8	290	103	149
Canon PowerShot S10	1999	1600	1280	1	35	70	46	12	8	320	106	399
Casio QV-2000UX	1999	1600	800	1	36	108	50	20	8	320	130	249
Casio QV-5500SX	1999	1280	640	1	36	36	30	10	8	320	131	249
Casio QV-8000SX	1999	1280	640	1	40	320	40	1	8	320	141	249
Epson PhotoPC 800	1999	1600	640	1	38	38	50	15	8	280	113	229
Epson PhotoPC 850 Zoom	1999	1600	640	1	35	105	0	0	0	0	0	229
Epson PhotoPC 650	1999	1152	640	0	39	39	60	15	8	400	135	229
Fujifilm DS-260HD	1999	1280	640	1	35	105	90	25	4	700	100	169
Fujifilm MX-1200	1999	1280	640	1	38	38	70	10	4	240	110	169
Fujifilm MX-1500	1999	1280	640	1	38	38	50	10	4	250	104	169
Fujifilm MX-1700	1999	1280	640	1	38	114	80	20	8	270	79	169
Fujifilm MX-2700	1999	1800	1280	2	35	35	50	9	4	260	80	169
Fujifilm MX-2900 Zoom	1999	1800	1280	2	35	105	90	25	8	385	130	179
Fujifilm MX-600 Zoom	1999	1280	640	1	38	115	90	25	4	0	122	179
HP Photosmart C200	1999	1152	640	1	35	35	60	20	8	300	126	179
HP Photosmart C500	1999	1600	640	1	38	115	0	0	16	410	153	179
Kodak DC200 plus	1999	1152	640	0	39	39	70	0	4	400	131	129
Kodak DC215	1999	1152	640	0	29	58	50	20	4	320	115	129
Kodak DC240	1999	1280	640	1	39	117	50	25	8	420	133	129
Kodak DC265	1999	1536	768	1	38	115	30	0	16	550	118	129
Kodak DC280	1999	1760	896	2	30	60	50	25	20	420	133	129
Kodak DC290	1999	1792	1440	2	38	115	30	0	20	550	118	129
Kodak DCS330	1999	2008	0	3	0	0	0	0	0	1080	137	126
Kodak DCS620	1999	1728	0	2	0	0	0	0	0	1580	194	129
Kodak DCS660	1999	3040	0	6	0	0	0	0	0	1580	194	129
Nikon Coolpix 700	1999	1600	640	1	35	35	30	9	8	340	114	229
Nikon Coolpix 800	1999	1600	640	1	38	76	30	7	8	360	119	229
Nikon Coolpix 950	1999	1600	1024	1	38	115	30	2	8	480	143	229
Nikon D1	1999	2000	0	2	0	0	0	0	0	1200	157	1599
Olympus C-2000 Zoom	1999	1600	1024	1	35	105	80	20	8	380	108	129
Olympus C-2020 Zoom	1999	1600	1024	1	35	105	80	20	8	380	108	129
Olympus C-21	1999	1600	1024	1	38	38	60	15	8	190	107	1699
Olympus C-2500 L	1999	1712	1280	2	36	110	80	2	32	530	109	129
Olympus D-340R	1999	1280	640	1	36	36	70	10	8	320	128	1699
Olympus D-450 Zoom	1999	1280	640	1	35	105	80	20	8	320	127	129
Ricoh RDC-5000	1999	1792	896	2	38	86	40	4	8	340	131	149
Ricoh RDC-5300	1999	1792	896	2	38	114	40	4	8	380	131	177
Sanyo VPC-X350	1999	1024	640	0	38	38	60	10	4	260	105	149
Sanyo VPC-Z400	1999	1280	640	1	34	102	80	20	4	350	128	149
Sony DSC-D770	1999	1344	640	1	28	140	20	0	8	900	130	149
Sony DSC-F505	1999	1600	1024	1	38	190	80	8	4	475	107	149
Sony DSC-F55	1999	1600	640	1	37	37	50	10	4	300	103	429
Sony Mavica FD-73	1999	640	320	0	40	400	1	1	1	500	138	1399
Sony Mavica FD-83	1999	1024	640	0	37	111	1	1	1	580	142	1399
Sony Mavica FD-88	1999	1280	1024	1	34	270	4	4	1	600	142	1399
Toshiba PDR-M3	1999	1280	640	1	38	115	90	25	4	380	122	62
Toshiba PDR-M4	1999	1600	800	1	40	40	50	10	8	290	112	62
Toshiba PDR-M5	1999	1600	800	1	40	120	90	25	8	350	130	62
Agfa ePhoto CL18	2000	640	0	0	45	45	0	0	2	0	0	179
Canon EOS D30	2000	2160	1440	3	0	0	0	0	16	855	150	549
Canon PowerShot G1	2000	2048	1024	3	34	102	70	6	16	490	120	499
Canon PowerShot S100	2000	1600	640	1	35	70	57	10	8	250	87	199
Canon PowerShot S20	2000	2048	1024	3	32	64	66	12	16	320	106	399
Casio QV-2300UX	2000	1600	800	1	41	123	10	1	8	245	67	249
Casio QV-2800UX	2000	1600	800	1	40	320	40	1	8	295	81	249
Casio QV-3EX	2000	2048	1024	3	41	41	50	10	16	245	115	249
Casio QV-3000EX	2000	2048	1024	3	33	100	30	6	16	360	134	249
Contax N Digital	2000	3040	0	6	0	0	0	0	0	0	152	549
Epson PhotoPC 3000 Zoom	2000	2048	640	3	34	102	50	5	16	360	107	399
Fujifilm FinePix 40i	2000	2400	1280	2	36	36	50	6	64	200	85.5	169
Fujifilm FinePix 1300	2000	1280	640	1	38	38	80	8	8	240	110	169
Fujifilm FinePix 2400 Zoom	2000	1600	1280	1	38	114	80	10	8	290	125	169
Fujifilm FinePix 4900 Zoom	2000	2400	1600	2	35	210	50	10	16	450	110	169
Fujifilm MX-1400	2000	1280	640	1	38	114	80	10	4	390	74	169
Fujifilm FinePix 4700 Zoom	2000	2400	1280	2	36	108	80	20	16	280	78	169
Fujifilm FinePix S1 Pro	2000	3040	2340	3	0	0	0	0	16	820	148	1699
HP Photosmart C215	2000	1280	640	1	43	43	60	10	4	290	124	179
HP Photosmart C315	2000	1600	640	1	38	38	30	30	8	280	128	179
HP Photosmart C618	2000	1600	800	1	34	108	50	10	16	630	144	179
HP Photosmart C912	2000	1600	800	1	34	108	50	10	16	150	99	179
Kodak DC3200	2000	1152	576	0	39	39	60	0	2	240	113	129
Kodak DC3400	2000	1760	896	2	38	76	50	25	20	420	133	129
Kodak DC3800	2000	1760	896	2	33	33	50	20	0	200	95	129
Kodak DC4800	2000	2160	1800	3	28	84	50	20	16	320	120	129
Kodak DC5000	2000	1760	896	2	30	60	50	20	16	459	140	126
Kodak DCS620x	2000	1728	0	2	0	0	0	0	0	1580	194	129
Kyocera Finecam 3300	2000	2048	1024	3	38	76	60	10	8	240	38	169
Leica Digilux 4.3	2000	2400	1280	2	36	108	80	20	16	280	78	149
Leica Digilux Zoom	2000	1280	640	1	38	114	80	20	8	270	79	249
Nikon Coolpix 880	2000	2048	1024	3	38	95	40	4	8	320	99.5	229
Nikon Coolpix 990	2000	2048	1024	3	38	115	30	2	16	450	143	229
Olympus C-2040 Zoom	2000	1600	1024	1	40	120	80	20	8	380	108	129
Olympus C-2100 UZ	2000	1600	1280	1	38	380	60	10	8	540	113	129
Olympus C-3000 Zoom	2000	2048	1600	3	32	96	80	20	8	380	109	1699
Olympus C-3030 Zoom	2000	2048	1600	3	32	96	80	20	16	380	109	1699
Olympus C-3040 Zoom	2000	2048	1600	3	35	105	80	20	16	420	109	1699
Olympus D-360L	2000	1280	640	1	36	36	50	10	8	280	128	1699
Olympus D-460 Zoom	2000	1280	640	1	35	105	80	20	8	320	127	449
Olympus D-490 Zoom	2000	1600	640	1	35	105	80	20	8	320	127	129
Olympus E-10	2000	2240	1600	3	35	140	60	20	0	1190	129	1699
Olympus E-100 RS	2000	1368	1280	1	38	380	60	10	16	603	108	129
Pentax EI-200	2000	1600	800	1	34	108	50	10	16	390	128	509
Pentax EI-2000	2000	1600	800	1	34	108	50	10	16	630	144	509
Ricoh RDC-200G	2000	1792	1280	2	38	114	4	4	8	500	144	399
Ricoh RDC-6000	2000	1600	800	1	40	40	30	13	8	300	110	149
Ricoh RDC-7	2000	2048	1024	3	35	105	24	1	8	320	135	1699
Ricoh RDC-i700	2000	2048	1024	3	35	105	24	1	8	450	157	149
Sony Mavica CD1000	2000	1600	1600	1	37	370	80	3	8	980	125	1399
Sony DSC-F505V	2000	1856	1600	2	38	190	50	2	8	482	107	149
Sony DSC-F55V	2000	1856	1600	2	37	37	25	10	8	280	103	429
Sony DSC-P1	2000	2048	1600	3	39	117	50	10	8	250	114	429
Sony DSC-S30	2000	1280	640	1	39	117	25	3	4	370	113	149
Sony DSC-S50	2000	1600	1280	1	39	117	25	3	4	370	113	149
Sony DSC-S70	2000	2048	1600	3	34	102	25	4	8	420	117	149
Sony Mavica FD-85	2000	1280	1280	1	37	111	1	1	1	0	0	1399
Sony Mavica FD-90	2000	1280	1280	1	34	270	4	4	1	0	0	1399
Sony Mavica FD-95	2000	1600	1600	1	37	370	80	3	1	900	0	1399
Toshiba PDR-M60	2000	1792	896	2	38	86	50	5	4	320	121	449
Toshiba PDR-M70	2000	2048	1024	3	35	105	80	9	16	390	116	62
Agfa ePhoto CL45	2001	1600	640	1	51	51	50	20	8	270	119	179
Canon PowerShot A10	2001	1280	1024	1	35	105	76	16	8	375	110	139
Canon PowerShot A20	2001	1600	1024	1	35	105	76	16	8	375	110	139
Canon EOS-1D	2001	2464	1232	4	0	0	0	0	0	1585	156	4499
Canon PowerShot G2	2001	2272	1600	3	34	102	70	6	32	510	121	499
Canon PowerShot Pro90 IS	2001	1856	1024	2	37	370	10	10	16	680	127	384
Canon PowerShot S110	2001	1600	1024	1	35	70	57	10	8	250	87	199
Canon PowerShot S30	2001	2048	1600	3	35	105	80	10	16	323	112	399
Canon PowerShot S300	2001	1600	1024	1	35	105	76	16	8	270	95	199
Canon PowerShot S40	2001	2272	1600	3	35	105	80	10	16	323	112	139
Casio GV-10	2001	1280	640	1	35	35	60	10	8	320	101	249
Casio QV-2100	2001	1600	800	1	41	41	80	20	16	260	108	249
Casio QV-2400UX	2001	1600	800	1	41	123	10	1	8	245	67	249
Casio QV-2900UX	2001	1600	800	1	40	320	40	1	8	295	81	249
Casio QV-3500EX	2001	2048	1024	3	33	100	30	6	16	360	134	249
Casio QV-4000	2001	2240	1600	3	34	102	30	6	16	420	118	249
Epson PhotoPC 3100 Zoom	2001	2048	1600	3	34	102	50	5	16	360	107	399
Fujifilm FinePix 50i	2001	2400	1600	2	36	36	50	6	64	200	85.5	169
Fujifilm FinePix 2300	2001	1600	1280	1	36	36	80	8	8	240	110	169
Fujifilm FinePix 2600 Zoom	2001	1600	1280	1	38	114	80	10	16	260	99	169
Fujifilm FinePix 2800 Zoom	2001	1600	1280	1	38	228	80	10	16	360	95	169
Fujifilm Finepix 30i	2001	1600	1280	1	38	38	60	8	16	200	85	199
Fujifilm FinePix 4800 Zoom	2001	2400	1600	2	36	108	60	20	16	280	80	169
Fujifilm FinePix 6800 Zoom	2001	2832	2048	3	36	108	60	20	16	280	80	169
Fujifilm FinePix 6900 Zoom	2001	2832	2048	3	35	210	50	10	16	450	110	169
Fujifilm FinePix A101	2001	1280	640	1	36	36	80	8	8	190	99	169
Fujifilm FinePix A201	2001	1600	1280	1	36	36	80	8	16	190	99	169
HP Photosmart 715	2001	2048	640	3	34	102	60	20	16	320	127	179
JVC GC-QX3HD	2001	2032	1024	3	37	86	50	2	8	320	111	14
JVC GC-QX5HD	2001	2032	1024	3	37	86	50	2	16	320	111	14
Kodak DCS720x	2001	1728	0	2	0	0	0	0	0	1580	194	129
Kodak DCS760	2001	3032	0	6	0	0	0	0	0	1860	194	129
Kodak DX3215	2001	1280	0	1	30	60	75	22	8	260	121	129
Kodak DX3500	2001	1800	900	2	38	38	75	22	8	225	120	129
Kodak DX3600	2001	1800	900	2	35	70	50	28	8	250	120	129
Kodak DX3700	2001	2160	0	3	37	37	50	15	8	250	150	129
Kodak DX3900	2001	2160	1800	3	35	70	50	7	8	260	116	129
Kodak mc3	2001	640	0	0	37	37	70	0	16	198	105	129
Kyocera Finecam S3	2001	2048	1024	3	38	76	30	6	16	160	30	1699
Nikon Coolpix 5000	2001	2560	1600	4	28	85	50	2	32	414	102	229
Nikon Coolpix 775	2001	1600	1024	1	38	115	30	4	8	230	87	159
Nikon Coolpix 885	2001	2048	1024	3	38	114	40	4	16	286	95	159
Nikon Coolpix 995	2001	2048	1600	3	38	152	30	2	16	420	138	159
Nikon D1H	2001	2000	0	2	0	0	0	0	0	1200	157	1599
Nikon D1X	2001	3008	2000	5	0	0	0	0	0	1200	157	4699
Olympus C-1	2001	1280	640	1	35	35	50	10	8	190	110	1699
Olympus D-370	2001	1280	1024	1	35	35	60	25	1	190	123	1699
Olympus D-150Z	2001	1280	640	1	38	114	50	20	8	190	110	1699
Olympus C-2	2001	1600	1024	1	36	36	50	10	16	220	110	1699
Olympus D-510 Zoom	2001	1600	1024	1	35	105	80	20	8	250	118	129
Olympus C-3020 Zoom	2001	2048	1600	3	32	96	80	20	8	380	109	1699
Olympus C-4040 Zoom	2001	2272	2048	3	35	105	80	20	16	420	110	129
Olympus D-40 Zoom	2001	2272	2048	3	35	98	80	10	16	270	87	1699
Olympus C-700 UZ	2001	1600	1280	1	38	380	60	10	8	340	108	449
Olympus E-20	2001	2560	1792	4	35	140	60	20	16	1190	129	1699
Panasonic Lumix DMC-F7	2001	1600	800	1	35	70	50	10	8	200	104	1499
Panasonic Lumix DMC-LC5	2001	2240	1600	3	33	100	30	6	32	435	128	1499
Pentax EI-100	2001	1280	640	1	42	42	60	30	8	240	105	509
Pentax Optio 330	2001	2048	1024	3	37	111	40	14	16	240	92	269
Pentax Optio 430	2001	2240	1120	3	37	111	40	14	16	240	92	269
Ricoh RDC-i500	2001	2048	1024	3	35	105	24	1	8	320	142	4999
Ricoh Caplio RR1	2001	2272	1120	3	35	105	24	1	8	340	135	99
Sanyo DSC-AZ1	2001	2288	1600	3	35	98	50	10	16	340	106	429
Sanyo DSC-MZ1	2001	1600	640	1	35	98	50	10	8	340	106	429
Sony Mavica CD200	2001	1600	1024	1	39	117	50	3	8	620	144	1399
Sony Mavica CD300	2001	2048	1600	3	34	102	50	4	8	620	144	1399
Sony DSC-F707	2001	2560	2048	4	38	190	50	2	16	667	162	149
Sony DSC-P20	2001	1216	1024	1	42	42	60	3	4	230	123	399
Sony DSC-P3	2001	1920	1600	2	36	36	25	10	8	194	113	429
Sony DSC-P30	2001	1280	1024	1	41	123	50	3	4	250	143	149
Sony DSC-P5	2001	2048	1600	3	39	117	50	10	8	214	113	429
Sony DSC-P50	2001	1600	1024	1	41	123	50	3	4	250	143	149
Sony DSC-S75	2001	2048	1600	3	34	102	50	4	8	444	125	149
Sony DSC-S85	2001	2272	1600	3	34	102	50	4	16	444	125	149
Sony Mavica FD-75	2001	640	320	0	40	400	1	1	1	580	138	1399
Sony Mavica FD-87	2001	1280	1024	1	39	117	25	3	1	630	143	1399
Sony Mavica FD-92	2001	1472	1280	1	41	328	25	3	1	660	126	1399
Sony Mavica FD-97	2001	1600	1024	1	39	390	25	2	1	990	126	1399
Toshiba PDR-M11	2001	1280	640	1	52	52	90	0	8	240	116	62
Toshiba PDR-M21	2001	1600	800	1	39	39	50	0	8	240	116	177
Toshiba PDR-M25	2001	1729	896	2	38	114	40	8	8	320	105	177
Toshiba PDR-M61	2001	1792	896	2	38	114	50	5	8	310	123	62
Toshiba PDR-M65	2001	2048	1024	3	38	114	10	10	8	320	120	62
Toshiba PDR-M71	2001	2048	1024	3	35	98	80	10	8	340	107	62
Toshiba PDR-M81	2001	2400	1200	3	35	98	80	10	16	340	107	62
Canon PowerShot A100	2002	1280	1024	1	39	39	20	5	8	225	110	139
Canon PowerShot A200	2002	1600	1024	1	39	39	20	5	8	225	110	139
Canon PowerShot A30	2002	1280	1024	1	35	105	76	16	8	350	110	139
Canon PowerShot A40	2002	1600	1024	1	35	105	76	16	8	350	110	139
Canon EOS-1Ds	2002	4064	2032	11	0	0	0	0	0	1585	156	7999
Canon EOS D60	2002	3072	2048	6	0	0	0	0	16	855	150	549
Canon PowerShot G3	2002	2272	1600	3	35	140	50	5	32	490	121	499
Canon PowerShot S200	2002	1600	1024	1	35	70	57	10	8	250	87	199
Canon PowerShot S230	2002	2048	1600	3	35	70	47	10	16	250	87	199
Canon PowerShot S330	2002	1600	1024	1	35	105	76	16	8	274	95	199
Canon PowerShot S45	2002	2272	1600	3	35	105	50	10	32	323	112	139
Casio GV-20	2002	1600	800	1	35	35	60	10	8	320	101	249
Casio QV-5700	2002	2560	1600	4	34	102	30	6	16	420	118	249
Casio QV-R3	2002	2048	1600	3	38	113	40	14	11	240	90	249
Casio QV-R4	2002	2304	2240	4	38	113	40	14	11	240	90	249
Contax TVS Digital	2002	2560	1600	4	35	105	60	15	0	260	112	549
Fujifilm FinePix 2650	2002	1600	1280	1	38	114	80	8	16	235	100	169
Fujifilm FinePix 3800	2002	2048	1600	3	38	228	80	10	16	400	100	399
Fujifilm FinePix A200	2002	1600	1280	1	36	36	80	8	16	180	99	169
Fujifilm FinePix A203	2002	1600	1280	1	38	114	60	10	16	180	97	169
Fujifilm FinePix A303	2002	2048	1600	3	38	114	60	10	16	180	97	169
Fujifilm FinePix F401 Zoom	2002	2304	1600	2	38	114	60	10	16	200	85	169
Fujifilm FinePix F402	2002	2304	1600	2	39	39	50	6	16	145	77	199
Fujifilm FinePix F601Z	2002	2832	2048	3	36	108	60	20	16	280	72	169
Fujifilm FinePix M603	2002	2832	2048	3	38	76	60	20	16	280	65	169
Fujifilm FinePix S602Z	2002	2832	2048	3	35	210	50	1	16	590	121	399
Fujifilm FinePix S602Z Pro	2002	2832	2048	3	35	210	50	1	340	590	121	1699
Fujifilm FinePix S2 Pro	2002	4256	3024	6	0	0	0	0	0	850	142	1699
HP Photosmart 320	2002	1632	640	2	38	38	75	0	8	240	113	179
HP Photosmart 620	2002	1632	640	2	36	102	20	20	8	280	120	179
HP Photosmart 720	2002	2048	640	3	34	102	20	20	16	340	118	179
HP Photosmart 812	2002	2272	1136	3	37	111	50	14	0	245	95	179
HP Photosmart 850	2002	2272	1136	3	37	300	50	10	0	489	114	179
Kodak CX4200	2002	1632	0	2	37	37	75	20	16	250	109	129
Kodak CX4230	2002	1632	0	2	36	108	50	10	16	280	115	129
Kodak CX4300	2002	2080	0	3	38	76	30	15	16	250	109	126
Kodak DCS 14n	2002	4536	3024	13	0	0	0	0	0	1000	131	129
Kodak DX4330	2002	2160	1800	3	38	114	60	7	16	260	111	126
Kodak DX4900	2002	2448	2160	4	35	70	50	7	16	260	116	129
Kodak LS420	2002	1752	876	2	38	38	80	0	8	160	109	129
Kodak LS443	2002	2448	2160	4	35	105	70	13	16	260	109	129
Kyocera Finecam S3L	2002	2048	1600	3	35	105	55	12	16	205	92	1699
Kyocera Finecam S3x	2002	2048	1024	3	35	105	55	12	16	175	32	1699
Kyocera Finecam S4	2002	2272	1280	3	35	105	55	12	16	175	32	1699
Kyocera Finecam S5	2002	2560	1600	5	35	105	55	12	16	205	92	1699
Leica Digilux 1	2002	2240	1600	3	33	100	30	6	32	455	127	249
Nikon Coolpix 2000	2002	1632	1024	1	38	114	0	0	8	295	108	229
Nikon Coolpix 2500	2002	1600	1280	1	37	111	30	4	8	250	114	229
Nikon Coolpix 3500	2002	2048	1600	3	37	111	30	4	8	250	114	229
Nikon Coolpix 4300	2002	2272	2048	3	38	114	30	4	16	286	95	229
Nikon Coolpix 4500	2002	2272	1280	3	38	155	30	2	16	374	130	229
Nikon Coolpix 5700	2002	2560	1600	4	35	280	50	3	32	512	108	229
Nikon D100	2002	3008	2240	6	0	0	0	0	0	780	144	1599
Olympus D-380	2002	1600	1024	1	35	35	60	25	8	250	123	1699
Olympus C-300 Zoom	2002	1984	1600	3	36	100	80	20	16	300	118	1699
Olympus C-4000 Zoom	2002	2288	2048	3	32	96	80	2	16	400	110	129
Olympus C-5050 Zoom	2002	2560	2288	4	35	105	80	20	32	480	114	449
Olympus C-50 Zoom	2002	2560	2048	4	38	114	50	20	32	230	100	449
Olympus C-720 UZ	2002	1984	1600	3	40	320	60	10	16	340	108	449
Olympus C-730 UZ	2002	2048	1600	3	38	380	60	10	16	400	108	449
Olympus D-520 Zoom	2002	1600	1024	1	35	105	50	20	8	220	112	449
Panasonic Lumix DMC-FZ1	2002	1600	1280	2	35	420	30	3	8	354	125	149
Panasonic Lumix DMC-LC20	2002	1600	1024	1	35	105	50	15	8	290	99	1499
Panasonic Lumix DMC-LC40	2002	2240	1600	3	33	100	30	6	16	420	104	1499
Pentax Optio 230	2002	1600	1024	1	38	114	50	10	16	230	104	269
Pentax Optio 330GS	2002	2048	1600	3	38	114	4	5	16	230	104	269
Pentax Optio 330RS	2002	2048	1024	3	37	111	40	14	16	240	92	269
Pentax Optio 430RS	2002	2240	1120	3	37	111	40	14	16	240	92	269
Samsung Digimax 130	2002	1280	640	1	43	43	80	40	8	250	106	299
Samsung Digimax 230	2002	1600	1024	1	33	100	80	20	0	0	0	229
Samsung Digimax 350SE	2002	2048	1024	3	34	102	80	20	0	320	114	229
Samsung Digimax 410	2002	2272	1600	3	34	102	80	20	0	340	116	229
Sigma SD9	2002	2268	1134	3	0	0	0	0	0	950	152	19
Sony Mavica CD250	2002	1600	1280	1	41	123	50	3	6	610	138	1399
Sony Mavica CD400	2002	2272	1600	3	34	102	50	4	6	640	138	1399
Sony DSC-F717	2002	2560	2048	4	38	190	50	2	32	659	162	149
Sony DSC-P2	2002	1600	1280	1	39	117	50	10	16	214	114	399
Sony DSC-P31	2002	1600	1280	1	33	33	10	10	8	231	106	429
Sony DSC-P51	2002	1600	1280	1	41	82	8	8	16	275	127	429
Sony DSC-P7	2002	2048	1600	3	39	117	50	10	16	214	114	149
Sony DSC-P71	2002	2048	1600	3	39	117	50	10	16	284	125	149
Sony DSC-P9	2002	2272	1600	3	39	117	50	10	16	206	113	429
Sony DSC-U10	2002	1280	640	1	33	33	10	10	8	118	85	149
Sony DSC-U20	2002	1632	640	2	33	33	10	10	8	118	85	399
Sony Mavica FD-100	2002	1280	1024	1	37	111	0	0	1	0	0	1399
Sony Mavica FD-200	2002	1600	1024	1	37	111	19	3	1	520	142	1399
Toshiba PDR-3310	2002	2048	1024	3	35	105	55	12	8	205	91	177
Toshiba PDR-3330	2002	2048	1024	3	35	100	80	10	8	320	116	177
Toshiba PDR-T10	2002	1600	800	1	38	38	40	20	8	180	86	129
Canon PowerShot A300	2003	2048	1600	3	33	33	20	5	32	225	111	139
Canon PowerShot A60	2003	1600	1024	1	35	105	46	5	16	315	101	139
Canon PowerShot A70	2003	2048	1600	3	35	105	46	5	16	315	101	139
Canon PowerShot A80	2003	2272	1600	3	38	114	46	5	32	350	103	139
Canon EOS 10D	2003	3072	2048	6	0	0	0	0	0	875	150	1299
Canon EOS 300D / Digital Rebel	2003	3072	2048	6	0	0	0	0	0	645	142	1299
Canon PowerShot G5	2003	2592	1600	5	35	140	50	5	32	490	121	149
Canon PowerShot S400	2003	2272	1600	3	36	108	46	5	32	230	87	139
Canon PowerShot S50	2003	2592	1600	5	35	105	50	10	32	323	112	399
Canon PowerShot SD10	2003	2272	1600	3	38	38	0	3	32	140	90	199
Canon PowerShot SD100	2003	2048	1600	3	35	70	47	10	16	185	85	199
Casio Exilim EX-S20	2003	1600	1280	1	35	35	80	30	10	100	83	249
Casio Exilim EX-S3	2003	2048	1600	3	35	35	80	80	10	110	90	249
Casio Exilim EX-Z3	2003	2048	1600	3	35	105	40	6	16	170	87	329
Casio Exilim EX-Z4	2003	2304	1600	4	35	105	40	6	16	170	87	329
Casio QV-R40	2003	2304	2240	4	39	117	60	10	11	210	88	249
Epson PhotoPC L-300	2003	2048	1600	3	34	102	50	11	16	285	105	399
Epson PhotoPC L-400	2003	2304	1600	4	34	102	50	11	16	285	105	129
Fujifilm FinePix A205 Zoom	2003	1600	1280	1	36	108	80	10	16	225	99	169
Fujifilm FinePix A210 Zoom	2003	2048	1600	3	36	108	80	10	16	225	99	169
Fujifilm FinePix A310 Zoom	2003	2816	2048	3	38	114	60	10	16	190	97	169
Fujifilm FinePix F410 Zoom	2003	2816	2048	3	38	114	60	10	16	205	85	169
Fujifilm FinePix F420 Zoom	2003	2816	2048	3	36	108	60	8	16	180	77	169
