mpg,cylinders,displacement,horesepower,weight,acceleration,model,origin,name
12,8,455,225,4951,11,73,1,buick_electra_225_custom
13,8,360,175,3821,11,73,1,amc_ambassador_brougham
18,6,225,105,3121,16.5,73,1,plymouth_valiant
16,6,250,100,3278,18,73,1,chevrolet_nova_custom
18,6,232,100,2945,16,73,1,amc_hornet
18,6,250,88,3021,16.5,73,1,ford_maverick
23,6,198,95,2904,16,73,1,plymouth_duster
26,4,97,46,1950,21,73,2,volkswagen_super_beetle
11,8,400,150,4997,14,73,1,chevrolet_impala
12,8,400,167,4906,12.5,73,1,ford_country
13,8,360,170,4654,13,73,1,plymouth_custom_suburb
12,8,350,180,4499,12.5,73,1,oldsmobile_vista_cruiser
18,6,232,100,2789,15,73,1,amc_gremlin
20,4,97,88,2279,19,73,3,toyota_carina
21,4,140,72,2401,19.5,73,1,chevrolet_vega
22,4,108,94,2379,16.5,73,3,datsun_610
18,3,70,90,2124,13.5,73,3,maxda_rx3
19,4,122,85,2310,18.5,73,1,ford_pinto
21,6,155,107,2472,14,73,1,mercury_capri_v6
26,4,98,90,2265,15.5,73,2,fiat_124_sport_coupe
15,8,350,145,4082,13,73,1,chevrolet_monte_carlo_s
16,8,400,230,4278,9.5,73,1,pontiac_grand_prix
29,4,68,49,1867,19.5,73,2,fiat_128
24,4,116,75,2158,15.5,73,2,opel_manta
20,4,114,91,2582,14,73,2,audi_100ls
19,4,121,112,2868,15.5,73,2,volvo_144ea
15,8,318,150,3399,11,73,1,dodge_dart_custom
24,4,121,110,2660,14,73,2,saab_99le
20,6,156,122,2807,13.5,73,3,toyota_mark_ii
11,8,350,180,3664,11,73,1,oldsmobile_omega
20,6,198,95,3102,16.5,74,1,plymouth_duster
21,6,200,?,2875,17,74,1,ford_maverick
19,6,232,100,2901,16,74,1,amc_hornet
15,6,250,100,3336,17,74,1,chevrolet_nova
31,4,79,67,1950,19,74,3,datsun_b210
26,4,122,80,2451,16.5,74,1,ford_pinto
32,4,71,65,1836,21,74,3,toyota_corolla_1200
25,4,140,75,2542,17,74,1,chevrolet_vega
16,6,250,100,3781,17,74,1,chevrolet_chevelle_malibu_classic
16,6,258,110,3632,18,74,1,amc_matador
18,6,225,105,3613,16.5,74,1,plymouth_satellite_sebring
16,8,302,140,4141,14,74,1,ford_gran_torino
13,8,350,150,4699,14.5,74,1,buick_century_luxus_(sw)
14,8,318,150,4457,13.5,74,1,dodge_coronet_custom_(sw)
14,8,302,140,4638,16,74,1,ford_gran_torino_(sw)
14,8,304,150,4257,15.5,74,1,amc_matador_(sw)
29,4,98,83,2219,16.5,74,2,audi_fox
26,4,79,67,1963,15.5,74,2,volkswagen_dasher
26,4,97,78,2300,14.5,74,2,opel_manta
31,4,76,52,1649,16.5,74,3,toyota_corona
32,4,83,61,2003,19,74,3,datsun_710
28,4,90,75,2125,14.5,74,1,dodge_colt
24,4,90,75,2108,15.5,74,2,fiat_128
26,4,116,75,2246,14,74,2,fiat_124_tc
24,4,120,97,2489,15,74,3,honda_civic
26,4,108,93,2391,15.5,74,3,subaru
31,4,79,67,2000,16,74,2,fiat_x1.9
19,6,225,95,3264,16,75,1,plymouth_valiant_custom
18,6,250,105,3459,16,75,1,chevrolet_nova
15,6,250,72,3432,21,75,1,mercury_monarch
15,6,250,72,3158,19.5,75,1,ford_maverick
16,8,400,170,4668,11.5,75,1,pontiac_catalina
15,8,350,145,4440,14,75,1,chevrolet_bel_air
16,8,318,150,4498,14.5,75,1,plymouth_grand_fury
14,8,351,148,4657,13.5,75,1,ford_ltd
17,6,231,110,3907,21,75,1,buick_century
16,6,250,105,3897,18.5,75,1,chevroelt_chevelle_malibu
15,6,258,110,3730,19,75,1,amc_matador
18,6,225,95,3785,19,75,1,plymouth_fury
21,6,231,110,3039,15,75,1,buick_skyhawk
20,8,262,110,3221,13.5,75,1,chevrolet_monza_2+2
13,8,302,129,3169,12,75,1,ford_mustang_ii
29,4,97,75,2171,16,75,3,toyota_corolla
23,4,140,83,2639,17,75,1,ford_pinto
20,6,232,100,2914,16,75,1,amc_gremlin
23,4,140,78,2592,18.5,75,1,pontiac_astro
24,4,134,96,2702,13.5,75,3,toyota_corona
25,4,90,71,2223,16.5,75,2,volkswagen_dasher
24,4,119,97,2545,17,75,3,datsun_710
18,6,171,97,2984,14.5,75,1,ford_pinto
29,4,90,70,1937,14,75,2,volkswagen_rabbit
19,6,232,90,3211,17,75,1,amc_pacer
23,4,115,95,2694,15,75,2,audi_100ls
23,4,120,88,2957,17,75,2,peugeot_504
22,4,121,98,2945,14.5,75,2,volvo_244dl
25,4,121,115,2671,13.5,75,2,saab_99le
33,4,91,53,1795,17.5,75,3,honda_civic_cvcc
28,4,107,86,2464,15.5,76,2,fiat_131
25,4,116,81,2220,16.9,76,2,opel_1900
25,4,140,92,2572,14.9,76,1,capri_ii
26,4,98,79,2255,17.7,76,1,dodge_colt
27,4,101,83,2202,15.3,76,2,renault_12tl
17.5,8,305,140,4215,13,76,1,chevrolet_chevelle_malibu_classic
16,8,318,150,4190,13,76,1,dodge_coronet_brougham
15.5,8,304,120,3962,13.9,76,1,amc_matador
14.5,8,351,152,4215,12.8,76,1,ford_gran_torino
22,6,225,100,3233,15.4,76,1,plymouth_valiant
22,6,250,105,3353,14.5,76,1,chevrolet_nova
24,6,200,81,3012,17.6,76,1,ford_maverick
22.5,6,232,90,3085,17.6,76,1,amc_hornet
29,4,85,52,2035,22.2,76,1,chevrolet_chevette
24.5,4,98,60,2164,22.1,76,1,chevrolet_woody
29,4,90,70,1937,14.2,76,2,vw_rabbit
33,4,91,53,1795,17.4,76,3,honda_civic
20,6,225,100,3651,17.7,76,1,dodge_aspen_se
18,6,250,78,3574,21,76,1,ford_granada_ghia
18.5,6,250,110,3645,16.2,76,1,pontiac_ventura_sj
17.5,6,258,95,3193,17.8,76,1,amc_pacer_d/l
29.5,4,97,71,1825,12.2,76,2,volkswagen_rabbit
32,4,85,70,1990,17,76,3,datsun_b-210
28,4,97,75,2155,16.4,76,3,toyota_corolla
26.5,4,140,72,2565,13.6,76,1,ford_pinto
20,4,130,102,3150,15.7,76,2,volvo_245
13,8,318,150,3940,13.2,76,1,plymouth_volare_premier_v8
19,4,120,88,3270,21.9,76,2,peugeot_504
19,6,156,108,2930,15.5,76,3,toyota_mark_ii
16.5,6,168,120,3820,16.7,76,2,mercedes-benz_280s
16.5,8,350,180,4380,12.1,76,1,cadillac_seville
13,8,350,145,4055,12,76,1,chevy_c10
13,8,302,130,3870,15,76,1,ford_f108
13,8,318,150,3755,14,76,1,dodge_d100
31.5,4,98,68,2045,18.5,77,3,honda_accord_cvcc
30,4,111,80,2155,14.8,77,1,buick_opel_isuzu_deluxe
36,4,79,58,1825,18.6,77,2,renault_5_gtl
25.5,4,122,96,2300,15.5,77,1,plymouth_arrow_gs
33.5,4,85,70,1945,16.8,77,3,datsun_f-10_hatchback
17.5,8,305,145,3880,12.5,77,1,chevrolet_caprice_classic
17,8,260,110,4060,19,77,1,oldsmobile_cutlass_supreme
15.5,8,318,145,4140,13.7,77,1,dodge_monaco_brougham
15,8,302,130,4295,14.9,77,1,mercury_cougar_brougham
17.5,6,250,110,3520,16.4,77,1,chevrolet_concours
20.5,6,231,105,3425,16.9,77,1,buick_skylark
19,6,225,100,3630,17.7,77,1,plymouth_volare_custom
18.5,6,250,98,3525,19,77,1,ford_granada
16,8,400,180,4220,11.1,77,1,pontiac_grand_prix_lj
15.5,8,350,170,4165,11.4,77,1,chevrolet_monte_carlo_landau
15.5,8,400,190,4325,12.2,77,1,chrysler_cordoba
16,8,351,149,4335,14.5,77,1,ford_thunderbird
29,4,97,78,1940,14.5,77,2,volkswagen_rabbit_custom
24.5,4,151,88,2740,16,77,1,pontiac_sunbird_coupe
26,4,97,75,2265,18.2,77,3,toyota_corolla_liftback
25.5,4,140,89,2755,15.8,77,1,ford_mustang_ii_2+2
30.5,4,98,63,2051,17,77,1,chevrolet_chevette
33.5,4,98,83,2075,15.9,77,1,dodge_colt_m/m
30,4,97,67,1985,16.4,77,3,subaru_dl
30.5,4,97,78,2190,14.1,77,2,volkswagen_dasher
22,6,146,97,2815,14.5,77,3,datsun_810
21.5,4,121,110,2600,12.8,77,2,bmw_320i
21.5,3,80,110,2720,13.5,77,3,mazda_rx-4
43.1,4,90,48,1985,21.5,78,2,volkswagen_rabbit_custom_diesel
36.1,4,98,66,1800,14.4,78,1,ford_fiesta
32.8,4,78,52,1985,19.4,78,3,mazda_glc_deluxe
39.4,4,85,70,2070,18.6,78,3,datsun_b210_gx
36.1,4,91,60,1800,16.4,78,3,honda_civic_cvcc
19.9,8,260,110,3365,15.5,78,1,oldsmobile_cutlass_salon_brougham
19.4,8,318,140,3735,13.2,78,1,dodge_diplomat
20.2,8,302,139,3570,12.8,78,1,mercury_monarch_ghia
19.2,6,231,105,3535,19.2,78,1,pontiac_phoenix_lj
20.5,6,200,95,3155,18.2,78,1,chevrolet_malibu
20.2,6,200,85,2965,15.8,78,1,ford_fairmont_(auto)
25.1,4,140,88,2720,15.4,78,1,ford_fairmont_(man)
20.5,6,225,100,3430,17.2,78,1,plymouth_volare
19.4,6,232,90,3210,17.2,78,1,amc_concord
20.6,6,231,105,3380,15.8,78,1,buick_century_special
20.8,6,200,85,3070,16.7,78,1,mercury_zephyr
18.6,6,225,110,3620,18.7,78,1,dodge_aspen
18.1,6,258,120,3410,15.1,78,1,amc_concord_d/l
19.2,8,305,145,3425,13.2,78,1,chevrolet_monte_carlo_landau
17.7,6,231,165,3445,13.4,78,1,buick_regal_sport_coupe_(turbo)
18.1,8,302,139,3205,11.2,78,1,ford_futura
17.5,8,318,140,4080,13.7,78,1,dodge_magnum_xe
30,4,98,68,2155,16.5,78,1,chevrolet_chevette
27.5,4,134,95,2560,14.2,78,3,toyota_corona
27.2,4,119,97,2300,14.7,78,3,datsun_510
30.9,4,105,75,2230,14.5,78,1,dodge_omni
21.1,4,134,95,2515,14.8,78,3,toyota_celica_gt_liftback
23.2,4,156,105,2745,16.7,78,1,plymouth_sapporo
23.8,4,151,85,2855,17.6,78,1,oldsmobile_starfire_sx
23.9,4,119,97,2405,14.9,78,3,datsun_200-sx
20.3,5,131,103,2830,15.9,78,2,audi_5000
17,6,163,125,3140,13.6,78,2,volvo_264gl
21.6,4,121,115,2795,15.7,78,2,saab_99gle
16.2,6,163,133,3410,15.8,78,2,peugeot_604sl
31.5,4,89,71,1990,14.9,78,2,volkswagen_scirocco
29.5,4,98,68,2135,16.6,78,3,honda_accord_lx
21.5,6,231,115,3245,15.4,79,1,pontiac_lemans_v6
19.8,6,200,85,2990,18.2,79,1,mercury_zephyr_6
22.3,4,140,88,2890,17.3,79,1,ford_fairmont_4
20.2,6,232,90,3265,18.2,79,1,amc_concord_dl_6
20.6,6,225,110,3360,16.6,79,1,dodge_aspen_6
17,8,305,130,3840,15.4,79,1,chevrolet_caprice_classic
17.6,8,302,129,3725,13.4,79,1,ford_ltd_landau
16.5,8,351,138,3955,13.2,79,1,mercury_grand_marquis
18.2,8,318,135,3830,15.2,79,1,dodge_st._regis
16.9,8,350,155,4360,14.9,79,1,buick_estate_wagon_(sw)
15.5,8,351,142,4054,14.3,79,1,ford_country_squire_(sw)
19.2,8,267,125,3605,15,79,1,chevrolet_malibu_classic_(sw)
18.5,8,360,150,3940,13,79,1,chrysler_lebaron_town_@_country_(sw)
31.9,4,89,71,1925,14,79,2,vw_rabbit_custom
34.1,4,86,65,1975,15.2,79,3,maxda_glc_deluxe
35.7,4,98,80,1915,14.4,79,1,dodge_colt_hatchback_custom
27.4,4,121,80,2670,15,79,1,amc_spirit_dl
25.4,5,183,77,3530,20.1,79,2,mercedes_benz_300d
23,8,350,125,3900,17.4,79,1,cadillac_eldorado
27.2,4,141,71,3190,24.8,79,2,peugeot_504
23.9,8,260,90,3420,22.2,79,1,oldsmobile_cutlass_salon_brougham
34.2,4,105,70,2200,13.2,79,1,plymouth_horizon
34.5,4,105,70,2150,14.9,79,1,plymouth_horizon_tc3
31.8,4,85,65,2020,19.2,79,3,datsun_210
37.3,4,91,69,2130,14.7,79,2,fiat_strada_custom
28.4,4,151,90,2670,16,79,1,buick_skylark_limited
28.8,6,173,115,2595,11.3,79,1,chevrolet_citation
26.8,6,173,115,2700,12.9,79,1,oldsmobile_omega_brougham
33.5,4,151,90,2556,13.2,79,1,pontiac_phoenix
41.5,4,98,76,2144,14.7,80,2,vw_rabbit
38.1,4,89,60,1968,18.8,80,3,toyota_corolla_tercel
32.1,4,98,70,2120,15.5,80,1,chevrolet_chevette
37.2,4,86,65,2019,16.4,80,3,datsun_310
28,4,151,90,2678,16.5,80,1,chevrolet_citation
26.4,4,140,88,2870,18.1,80,1,ford_fairmont
24.3,4,151,90,3003,20.1,80,1,amc_concord
19.1,6,225,90,3381,18.7,80,1,dodge_aspen
34.3,4,97,78,2188,15.8,80,2,audi_4000
29.8,4,134,90,2711,15.5,80,3,toyota_corona_liftback
31.3,4,120,75,2542,17.5,80,3,mazda_626
37,4,119,92,2434,15,80,3,datsun_510_hatchback
32.2,4,108,75,2265,15.2,80,3,toyota_corolla
46.6,4,86,65,2110,17.9,80,3,mazda_glc
27.9,4,156,105,2800,14.4,80,1,dodge_colt
40.8,4,85,65,2110,19.2,80,3,datsun_210
44.3,4,90,48,2085,21.7,80,2,vw_rabbit_c_(diesel)
43.4,4,90,48,2335,23.7,80,2,vw_dasher_(diesel)
36.4,5,121,67,2950,19.9,80,2,audi_5000s_(diesel)
30,4,146,67,3250,21.8,80,2,mercedes-benz_240d
44.6,4,91,67,1850,13.8,80,3,honda_civic_1500_gl
40.9,4,85,?,1835,17.3,80,2,renault_lecar_deluxe
33.8,4,97,67,2145,18,80,3,subaru_dl
29.8,4,89,62,1845,15.3,80,2,vokswagen_rabbit
32.7,6,168,132,2910,11.4,80,3,datsun_280-zx
23.7,3,70,100,2420,12.5,80,3,mazda_rx-7_gs
35,4,122,88,2500,15.1,80,2,triumph_tr7_coupe
23.6,4,140,?,2905,14.3,80,1,ford_mustang_cobra
32.4,4,107,72,2290,17,80,3,honda_accord
27.2,4,135,84,2490,15.7,81,1,plymouth_reliant
26.6,4,151,84,2635,16.4,81,1,buick_skylark
25.8,4,156,92,2620,14.4,81,1,dodge_aries_wagon_(sw)
23.5,6,173,110,2725,12.6,81,1,chevrolet_citation
30,4,135,84,2385,12.9,81,1,plymouth_reliant
39.1,4,79,58,1755,16.9,81,3,toyota_starlet
39,4,86,64,1875,16.4,81,1,plymouth_champ
35.1,4,81,60,1760,16.1,81,3,honda_civic_1300
32.3,4,97,67,2065,17.8,81,3,subaru
37,4,85,65,1975,19.4,81,3,datsun_210_mpg
37.7,4,89,62,2050,17.3,81,3,toyota_tercel
34.1,4,91,68,1985,16,81,3,mazda_glc_4
34.7,4,105,63,2215,14.9,81,1,plymouth_horizon_4
34.4,4,98,65,2045,16.2,81,1,ford_escort_4w
29.9,4,98,65,2380,20.7,81,1,ford_escort_2h
33,4,105,74,2190,14.2,81,2,volkswagen_jetta
34.5,4,100,?,2320,15.8,81,2,renault_18i
33.7,4,107,75,2210,14.4,81,3,honda_prelude
32.4,4,108,75,2350,16.8,81,3,toyota_corolla
32.9,4,119,100,2615,14.8,81,3,datsun_200sx
31.6,4,120,74,2635,18.3,81,3,mazda_626
28.1,4,141,80,3230,20.4,81,2,peugeot_505s_turbo_diesel
30.7,6,145,76,3160,19.6,81,2,volvo_diesel
25.4,6,168,116,2900,12.6,81,3,toyota_cressida
24.2,6,146,120,2930,13.8,81,3,datsun_810_maxima
22.4,6,231,110,3415,15.8,81,1,buick_century
26.6,8,350,105,3725,19,81,1,oldsmobile_cutlass_ls
20.2,6,200,88,3060,17.1,81,1,ford_granada_gl
17.6,6,225,85,3465,16.6,81,1,chrysler_lebaron_salon
28,4,112,88,2605,19.6,82,1,chevrolet_cavalier
27,4,112,88,2640,18.6,82,1,chevrolet_cavalier_wagon
34,4,112,88,2395,18,82,1,chevrolet_cavalier_2-door
31,4,112,85,2575,16.2,82,1,pontiac_j2000_se_hatchback
29,4,135,84,2525,16,82,1,dodge_aries_se
27,4,151,90,2735,18,82,1,pontiac_phoenix
24,4,140,92,2865,16.4,82,1,ford_fairmont_futura
23,4,151,?,3035,20.5,82,1,amc_concord_dl
36,4,105,74,1980,15.3,82,2,volkswagen_rabbit_l
37,4,91,68,2025,18.2,82,3,mazda_glc_custom_l
31,4,91,68,1970,17.6,82,3,mazda_glc_custom
38,4,105,63,2125,14.7,82,1,plymouth_horizon_miser
36,4,98,70,2125,17.3,82,1,mercury_lynx_l
36,4,120,88,2160,14.5,82,3,nissan_stanza_xe
36,4,107,75,2205,14.5,82,3,honda_accord
34,4,108,70,2245,16.9,82,3,toyota_corolla
38,4,91,67,1965,15,82,3,honda_civic
32,4,91,67,1965,15.7,82,3,honda_civic_(auto)
38,4,91,67,1995,16.2,82,3,datsun_310_gx
25,6,181,110,2945,16.4,82,1,buick_century_limited
38,6,262,85,3015,17,82,1,oldsmobile_cutlass_ciera_(diesel)
26,4,156,92,2585,14.5,82,1,chrysler_lebaron_medallion
22,6,232,112,2835,14.7,82,1,ford_granada_l
32,4,144,96,2665,13.9,82,3,toyota_celica_gt
36,4,135,84,2370,13,82,1,dodge_charger_2.2
27,4,151,90,2950,17.3,82,1,chevrolet_camaro
27,4,140,86,2790,15.6,82,1,ford_mustang_gl
44,4,97,52,2130,24.6,82,2,vw_pickup
32,4,135,84,2295,11.6,82,1,dodge_rampage
28,4,120,79,2625,18.6,82,1,ford_ranger
31,4,119,82,2720,19.4,82,1,chevy_s-10
